loan_id,applicant,gender,married,dependents,self_employed,experience,income,loan_amount,term,credit_history,property_area,status
ID1001,Olivia H. White,female,yes,0,no,4,"$3,654.58","$15,076.70",120,1,urban,Y
ID1002,Luna Davis,female,yes,3,no,12,"$2,171.66","$6,738.21",36,1,urban,Y
ID1003,Henry O. Sanchez,male,yes,4,no,19,"$10,648.55","$12,974.72",120,0,urban,N
ID1004,Oliver D. Ramirez,male,yes,1,no,21,"$8,998.79","$40,866.00",24,1,urban,Y
ID1005,Logan U. Gonzalez,male,no,0,no,26,"$8,149.83","$49,796.19",24,1,rural,Y
ID1006,Isabella Lee,female,no,2,yes,20,"$4,816.70","$31,717.57",48,1,urban,Y
ID1007,Noah U. Ramirez,male,yes,2,no,16,"$3,579.46","$17,169.96",360,1,urban,Y
ID1008,Evelyn Harris,female,yes,1,no,11,"$5,503.03","$32,301.28",240,0,rural,N
ID1009,Mila Y. Miller,female,yes,4,no,16,"$3,436.25","$18,934.45",360,1,rural,Y
ID1010,Mateo P. Williams,male,no,4,no,32,"$3,181.71","$20,359.79",120,1,urban,Y
ID1011,Isabella Thompson,female,no,2,no,10,"$4,059.79","$8,939.77",48,1,urban,Y
ID1012,Mia Williams,female,no,0,no,8,"$12,043.64","$64,858.06",60,1,urban,Y
ID1013,Elijah Perez,male,yes,1,no,7,"$4,908.49","$11,595.93",240,0,urban,N
ID1014,Daniel H. Garcia,male,no,0,no,20,"$5,677.73","$29,581.57",36,1,rural,Y
ID1015,Jackson Miller,male,no,0,yes,26,"$9,659.09","$45,329.65",180,0,urban,N
ID1016,Benjamin Johnson,male,yes,2,yes,28,"$3,021.74","$6,909.37",120,1,urban,Y
ID1017,Mia Jackson,female,yes,1,no,10,"$6,848.10","$32,517.05",60,0,urban,N
ID1018,Oliver Smith,male,no,4,yes,35,"$8,750.83","$49,550.01",36,1,urban,Y
ID1019,Sofia Smith,female,yes,3,yes,32,"$3,797.77","$10,990.16",48,1,rural,Y
ID1020,Sofia B. Thomas,female,yes,1,no,20,"$2,703.61","$9,116.99",60,0,urban,N
ID1021,James L. Moore,male,yes,0,yes,28,"$8,122.31","$12,506.38",48,0,urban,N
ID1022,Luna Martin,female,no,0,no,14,"$7,967.05","$40,677.54",120,1,rural,Y
ID1023,Elijah Gonzalez,male,no,0,no,25,"$3,865.46","$24,790.18",240,1,urban,Y
ID1024,Abigail Perez,female,yes,3,yes,35,"$3,222.32","$8,794.17",120,1,rural,Y
ID1025,Michael Lewis,male,yes,2,yes,25,"$6,766.15","$31,843.53",24,1,rural,Y
ID1026,Elijah White,male,yes,2,no,10,"$6,751.91","$13,108.93",180,1,urban,Y
ID1027,Liam N. Martinez,male,no,1,no,17,"$9,381.18","$44,130.36",48,1,urban,Y
ID1028,Lucas Perez,male,no,0,yes,26,"$11,103.41","$34,705.24",120,1,rural,Y
ID1029,Liam Lewis,male,no,0,no,17,"$3,463.48","$12,241.49",240,0,urban,N
ID1030,Emily Martin,female,no,1,no,30,"$5,233.55","$18,309.03",240,1,rural,Y
ID1031,Evelyn Harris,female,yes,0,no,13,"$3,553.18","$7,698.66",36,1,rural,Y
ID1032,Logan N. Wilson,male,yes,2,no,18,"$4,032.46","$12,740.66",48,0,urban,N
ID1033,Emily White,female,no,3,no,14,"$10,491.77","$59,807.81",120,1,urban,Y
ID1034,Emily Smith,female,yes,2,yes,11,"$4,307.38","$25,504.72",48,0,urban,N
ID1035,Luna Rodriguez,female,yes,2,yes,10,"$1,800.00","$4,149.71",120,1,rural,Y
ID1036,Benjamin Anderson,male,no,0,no,26,"$3,230.24","$20,557.56",120,1,rural,Y
ID1037,Charlotte Jackson,female,no,0,no,8,"$4,474.50","$17,064.02",60,1,rural,Y
ID1038,Elizabeth Brown,female,yes,3,no,17,"$7,442.12","$39,658.91",240,1,urban,Y
ID1039,Avery Rodriguez,female,yes,3,no,18,"$6,688.61","$18,681.82",60,0,urban,N
ID1040,Henry T. Hernandez,male,no,0,yes,25,"$10,474.22","$39,050.33",120,1,rural,Y
ID1041,Lucas Gonzalez,male,yes,1,no,23,"$3,543.59","$8,426.37",48,1,urban,Y
ID1042,Elijah White,male,no,0,no,35,"$5,647.85","$11,605.33",36,1,urban,Y
ID1043,Liam Thompson,male,yes,4,no,28,"$5,203.99","$18,772.86",60,1,urban,Y
ID1044,Noah Rodriguez,male,yes,3,no,5,"$2,960.21","$19,435.87",48,1,urban,Y
ID1045,Mila Martin,female,yes,1,no,37,"$3,699.87","$18,995.51",120,0,urban,N
ID1046,Benjamin Rodriguez,male,yes,0,yes,20,"$2,711.11","$9,545.09",120,1,urban,Y
ID1047,Avery Perez,female,yes,0,no,8,"$8,349.56","$28,695.99",240,1,urban,Y
ID1048,Michael Rodriguez,male,yes,0,yes,12,"$17,892.00","$85,016.83",360,1,urban,Y
ID1049,William Thomas,male,yes,0,no,34,"$5,288.94","$8,197.56",48,0,urban,N
ID1050,Jackson Martinez,male,yes,2,yes,11,"$5,331.92","$23,842.52",60,1,urban,Y
ID1051,Noah E. Miller,male,no,1,no,19,"$4,330.21","$17,644.29",60,0,urban,N
ID1052,Amelia Anderson,female,no,0,no,14,"$5,361.00","$9,519.96",60,1,urban,Y
ID1053,Ava Y. Ramirez,female,no,1,no,12,"$3,774.48","$14,046.98",360,0,urban,N
ID1054,Gianna Hernandez,female,yes,1,no,18,"$2,199.80","$11,351.29",24,1,urban,Y
ID1055,Abigail Perez,female,no,0,no,13,"$3,398.22","$4,801.61",60,0,urban,N
ID1056,Emily Gonzalez,female,no,3,no,11,"$6,716.11","$9,870.94",48,1,urban,Y
ID1057,Amelia J. Anderson,female,no,0,no,8,"$5,813.46","$11,154.34",180,1,urban,Y
ID1058,Mila S. Perez,female,yes,1,no,25,"$3,427.36","$14,648.20",48,1,urban,Y
ID1059,Henry Anderson,male,yes,1,no,18,"$3,682.77","$19,002.85",120,1,urban,Y
ID1060,Elizabeth Clark,female,yes,2,no,19,"$8,993.41","$51,156.53",120,1,urban,Y
ID1061,Emma Martinez,female,yes,1,yes,16,"$4,467.77","$8,435.29",48,1,rural,Y
ID1062,Harper White,female,no,1,yes,24,"$3,291.47","$4,836.18",60,1,rural,Y
ID1063,Elijah Anderson,male,no,0,no,21,"$5,190.71","$14,585.67",360,1,urban,Y
ID1064,Ella Robinson,female,no,0,yes,9,"$5,767.05","$36,416.06",60,0,urban,N
ID1065,Avery White,female,no,2,no,12,"$6,635.39","$15,206.16",60,0,urban,N
ID1066,Gianna Moore,female,no,0,no,26,"$3,686.45","$23,729.58",120,0,rural,N
ID1067,James Sanchez,male,yes,2,no,13,"$4,012.71","$7,801.37",48,0,urban,N
ID1068,Liam Lopez,male,yes,0,no,17,"$7,899.87","$30,451.34",180,1,urban,Y
ID1069,Jack Johnson,male,no,2,no,39,"$8,776.36","$43,688.22",36,1,urban,Y
ID1070,Camila E. Martin,female,yes,1,no,17,"$5,023.83","$24,707.35",36,0,urban,N
ID1071,Emily White,female,yes,3,no,23,"$4,456.01","$28,243.34",48,1,rural,Y
ID1072,Oliver N. Clark,male,yes,2,no,18,"$4,734.73","$22,312.49",48,1,urban,Y
ID1073,Emma Martinez,female,yes,1,no,7,"$8,384.03","$35,195.52",180,1,urban,Y
